A,B,C
0.061054535,0.23690066,0.43588287
0,0.34341508,0.22680378
0.030429581,0,0.23204032
0.03067703,0.00139793,0.12206617
0.058533885,0.016664226,0.084671795
0.055866838,0.009839681,0.05135616
0.029300218,0.003904692,0.04419608
0.14959323,0.03532576,0.0457951
0.030483542,0,0.3525574
0.029654505,0,0.2237953
0,0.18238196,0.16629486
0,0.020042544,0.06254554
0.029628552,0,0.020036256
0,0.39860392,0.14813064
0,0.35476032,0.22321177
0,0.39162743,0
0.06143577,0.08445607,0.035164546
0,0.15749958,0.02537212
0,0.36637905,0.03822247
0,0.015939755,0.020616459
0,0.28269553,0.009031434
0,0.18493433,0.290977
0,0,0.0707285
0,0.18441722,0.09804721
0.1148544,0.00478128,0.07698999
0.059270173,0.026249703,0.026318396
0,0.14017239,0.01471568
0,0.34620732,0
0,0.08717252,0.09206804
0.1522026,0.42851168,0.20346886
0,0.09773071,0.07602784
0.030595688,0.48420966,0
0.030681446,0.26535353,0.18622
0,0.008070054,0.029764375
0.03076383,0.11017938,0.5118133
0,0.06962253,0.054653972
0,0.019003723,0.005123602
0.06043219,0.064713515,0.06520818
0.030445077,0.13184234,0.4062701
0.058270358,0.11620881,0.14520264
0,0.09277354,0.010974664
0.030211542,0.000937262,0.059016127
0,0.2112728,0.24906202
0,0.23333447,0.043723248
0,0.066865414,0.04911911
0.03048481,0.008609141,0.052847788
0,0.007106791,0.01179748
0.029833222,0.009032273,0.031111319
0.029880546,0.27012312,0.067706965
0,0.055257063,0.00158053
0,0.43046293,0
0,0.01986054,0.028619962
0,0.019501586,0.012181568
0.030592026,0,0.0607217
0.030615907,0.20114926,0.04993636
0,0,0.063677795
0.06120045,0,0.003538487
0,0.04032324,0.11219323
0,0.29294115,0.0763276
0.030430714,0.37112445,0.123250015
0,0.17046456,0.00550794
0.091999546,0.003689064,0.06637158
0.11654983,0.009436189,0.007761167
0.030582745,0.04056064,0.023379134
0.030732691,0.16423102,0.001232683
0,0.1568291,0.001851349
0.060712855,0.06829147,0.01028293
0,0.18951377,0.04411598
0.06108389,0.019630997,0.046348684
0.060626604,0.058638107,0.043850604
0.03077193,0.123979904,0.12948743
0.030032903,0.107866794,0.17382841
0.030721584,0.4181756,0.23511812
0,0.038954288,0.17972617
0.03073529,0.049913302,0.09038385
0,0,0
0,0.13358186,0.00331218
0.030785602,0.12227598,0.23289107
0,0.2839226,0.030732337
0,0.048588134,0.23581615
0,0.65136594,0.116437495
0,0.003057733,0.006652269
0.0898068,0.1728839,0.26253626
0.030715216,0.46080264,0.4089063
0.030364946,0.013654657,0.05437753
0,0.008276309,0.060094178
0,0,0
0,0.1966062,0.2100299
0.028923843,0.006936578,0.03733784
0.06071732,0.077455826,0.03960334
0,0.07010602,0.0678127
0,0.033237316,0.005103007
0.060944803,0.031003755,0.033839937
0,0.015137746,0.026518902
0,0.07089442,0.018478645
0.030763658,0.3929896,0.3327057
0,0,0.397947
0,0.06505145,0.11150252
0.09171753,0.014545265,0.23217958
0,0.06412274,0.18125285
0,0.011753183,0.018990722
0.030730566,0.016193068,0.034089357
0,0.011385451,0.018862281
0,0,0.025033504
0.06054544,0.011665621,0.018897595
0,0.010056593,0.019186545
0,0.014019781,0.043025047
0,0.013476174,0.0670816
0,0.005318586,0.047063436
0,0.0935132,0.07425426
0,0.01004709,0.016276281
0.030112457,0.21387641,0.075841814
0.11953866,0.45625806,0.38122407
0.030692672,0.108746946,0.32602552
0.030264009,0.008563118,0.018972013
0,0.23591131,0.108570725
0.03060632,0,0.15773985
0,0.09171177,0.18846351
0,0.18984455,0.12827925
0,0.029144032,0.13806807
0.030673591,0,0.15905485
0,0.04487818,0.16291675
0,0.18162128,0.1694253
0.06146686,0.06263044,0
0.028393617,0.079863496,0.30475405
0.11521397,0.04583644,0.086269744
0,0.123216614,0.2488604
0,0.00446918,0.046917006
0,0.011301207,0.049960684
0.059638076,0,0.39053762
0,0.13435094,0.050622758
0.06135123,0.007103412,0.008580275
0,0,0.28123707
0.030778399,0.037908893,0.28395587
0,0.03654913,0.28791606
0.030790936,0.0463328,0.002847146
0,0.09153245,0.007368805
0,0.016230263,0.037827473
0.06134582,0.010935988,0.009806993
0,0.008748347,0.019440673
0,0.025275707,0.029239146
0,0.018633692,0.05552299
0,0.014417624,0.012604354
0.029570911,0.38649833,0.001100589
0,0.03073827,0.038851153
0.028938554,0.054787934,0.08745177
0,0.2316865,0.15391731
0.12287375,0.014699747,0.004667936
0.060799673,0.00722551,0.11715885
0,0.010761535,0.016569883
0,0.001821644,0.023423282
0,0.03441732,0.06348706
0,0.080150306,0.059200596
0.030052124,0,0.06421559
0,0.20012394,0.013645612
0,0.16422293,0.19206874
0,0.08086292,0.0726303
0,0.085795425,0.20883924
0,0.026403267,0.006776735
0,0.025673546,0.002102943
0.030545764,0.48598248,0
0.119240806,0.002102015,0.063985035
0.030641606,0.035865135,0.003549462
0.030300949,0.14536986,0.010535841
0,0.046118952,0.020395227
0.03052293,0.012972506,0.15229885
0,0,0
0.06123987,0.042266976,0.006793336
0,0.31375676,0.036491726
0.030459352,0.06259596,0.08608058
0.030441051,0.41850355,0.090732984
0,0.016062384,0.008266894
0,0.035514437,0.019802669
0,0.013478802,0.013231505
0.029955683,0.24961014,0.44613147
0,0.063165635,0.101954214
0.030778091,0.021280581,0.01960762
0,0.3044623,0.19705828
0,0,0.024238218
0,0.012909576,0.20868997
0,0.3597463,0.062452994
0,0.06773618,0.16465461
0.09084067,0.01920124,0.012067542
0.055150148,0.022857714,0.014223561
0.14281507,0.013904063,0.003148753
0,0.011036721,0.010477782
0.030708248,0.006120397,0.018600142
0,0.12613544,0.021627262
0,0.11938869,0.1553523
0,0,0.15394625
0.06119778,0.15898344,0.0122882
0,0.29170662,0.12348669
0.030492846,0.07055876,0.03668354
0.059781466,0.32165116,0.017916696
0.03064743,0.016633727,0.003619349
0,0.1253641,0.016717926
0,0.020006599,0.038688976
0.06140438,0.007910349,0.0278688
0,0.006272438,0.033502664
0,0.046104003,0.2115919
0.030610783,0.00524983,0.026591238
0.117437854,0.004100537,0.008160328
